4, 8.000, -61.5999984741211, 23.8999996185303, 0, 0.000, 405.422, -4.000, 1, 500, 2, 2, 0, -4, 2, -61.5999984741211, 23.8999996185303
C:\TA Instruments\WinTest\UnsecureWorkspace\TestData\SOPHIE AND BEN\RHH239\Anterior\cartSub4 03222018 022624.dat

test
"Elapsed Time ","Disp  ","Load   ",
"Sec          ","mm    ","N      ",
        9.50000,-0.06804101688,-57.7349162267,
        9.50200,-0.07002471999,-60.1039155248,
        9.50400,-0.07200842311,-62.5003814814,
        9.50600,-0.07478560747,-64.8968474380,
        9.50800,-0.07617419965,-67.2658467360,
        9.51000,-0.07815790277,-69.5455793939,
        9.51200,-0.08033997620,-71.7772453993,
        9.51400,-0.08232367931,-73.9059114353,
        9.51600,-0.08470412305,-75.8491775262,
        9.51800,-0.08589434492,-77.6894436476,
        9.52000,-0.08748130741,-79.3443098239,
        9.52200,-0.08807641835,-80.8549760430,
        9.52400,-0.09025849178,-82.1802423170,
        9.52600,-0.09085360271,-83.2857753227,
        9.52800,-0.09244056520,-84.1441084017,
        9.53000,-0.09263893551,-84.8307748650,
        9.53200,-0.09303567614,-85.2496414075,
        9.53400,-0.09363078707,-85.4487746818,
        9.53600,-0.09402752770,-85.4144413587,
        9.53800,-0.09343241676,-85.1878414258,
        9.54000,-0.09363078707,-84.7003082369,
        9.54200,-0.09343241676,-83.9999084445,
        9.54400,-0.09343241676,-83.0866420484,
        9.54600,-0.09263893551,-81.9399090548,
        9.54800,-0.09144871364,-80.4704428236,
        9.55000,-0.09065523240,-78.8773766289,
        9.55200,-0.09006012146,-77.0645771661,
        9.55400,-0.08886989959,-75.1007110813,
        9.55600,-0.08767967772,-73.0063783685,
        9.55800,-0.08648945585,-70.7678456984,
        9.56000,-0.08490249336,-68.5087130345,
        9.56200,-0.08291879025,-66.2152470473,
        9.56400,-0.08192693869,-63.7501144444,
        9.56600,-0.07974486526,-61.3124485000,
        9.56800,-0.07736442152,-58.8953825495,
        9.57000,-0.07617419965,-56.4920499283,
        9.57200,-0.07399212622,-54.1642506180,
        9.57400,-0.07200842311,-51.9669179357,
        9.57600,-0.06962797937,-49.8245185705,
        9.57800,-0.06784264657,-47.7988525040,
        9.58000,-0.06506546220,-45.8761864071,
        9.58200,-0.06367687002,-44.2007202368,
        9.58400,-0.06228827784,-42.6007873775,
        9.58600,-0.06030457472,-41.2205877865,
        9.58800,-0.05891598254,-40.0875881222,
        9.59000,-0.05772576067,-39.1331217383,
        9.59200,-0.05653553880,-38.4464552751,
        9.59400,-0.05594042787,-38.0207220679,
        9.59600,-0.05574205756,-37.8078554643,
        9.59800,-0.05534531693,-37.7872554704,
        9.60000,-0.05514694662,-37.9383220923,
        9.60200,-0.05475020600,-38.4052552873,
        9.60400,-0.05514694662,-39.0369884335,
        9.60600,-0.05554368725,-39.9502548296,
        9.60800,-0.05594042787,-41.0832544939,
        9.61000,-0.05732902005,-42.4153874325,
        9.61200,-0.05832087161,-44.0977202673,
        9.61400,-0.05931272317,-45.8281197546,
        9.61600,-0.06010620441,-47.7164525285,
        9.61800,-0.06169316691,-49.7833185827,
        9.62000,-0.06347849971,-51.8982512894,
        9.62200,-0.06526383251,-54.1573839534,
       10.00000,-0.06685079501,-56.4989165929,
       10.00200,-0.06923123875,-58.8747825556,
       10.00400,-0.07081820124,-61.2918485061,
       10.00600,-0.07319864498,-63.6951811274,
       10.00800,-0.07557908872,-66.0710470901,
       10.01000,-0.07756279183,-68.3439130833,
       10.01200,-0.07954649495,-70.6717123936,
       10.01400,-0.08172856838,-72.7797784356,
       10.01600,-0.08291879025,-74.8466444899,
       10.01800,-0.08549760430,-76.8311105686,
       10.02000,-0.08688619648,-78.5203100681,
       10.02200,-0.08787804804,-80.1614429151,
       10.02400,-0.09006012146,-81.5691091647,
       10.02600,-0.09105197302,-82.7433088168,
       10.02800,-0.09144871364,-83.7595751823,
       10.03000,-0.09283730583,-84.5629749443,
       10.03200,-0.09323404645,-85.0917081210,
       10.03400,-0.09323404645,-85.4213080233,
       10.03600,-0.09343241676,-85.4625080111,
       10.03800,-0.09422589801,-85.3457747124,
       10.04000,-0.09363078707,-84.9955748161,
       10.04200,-0.09382915738,-84.4050416578,
       10.04400,-0.09343241676,-83.5535752434,
       10.04600,-0.09224219489,-82.4617755669,
       10.04800,-0.09224219489,-81.1502426222,
       10.05000,-0.09125034333,-79.6945097201,
       10.05200,-0.09045686209,-77.9229102451,
       10.05400,-0.08886989959,-76.1169774468,
       10.05600,-0.08827478866,-74.0295113987,
       10.05800,-0.08708456679,-71.8939786981,
       10.06000,-0.08589434492,-69.7035126804,
       10.06200,-0.08410901212,-67.4169133580,
       10.06400,-0.08272041993,-64.9517807550,
       10.06600,-0.08113345744,-62.5278481399,
       10.06800,-0.07934812464,-60.1588488418,
       10.07000,-0.07696768090,-57.7417828913,
       10.07200,-0.07498397778,-55.3933835871,
       10.07400,-0.07260353404,-53.1067842647,
       10.07600,-0.07081820124,-50.8888515885,
       10.07800,-0.06863612781,-48.7945188757,
       10.08000,-0.06645405438,-46.8512527848,
       10.08200,-0.06486709189,-45.0247199927,
       10.08400,-0.06288338878,-43.3767204810,
       10.08600,-0.06129642628,-41.9347209082,
       10.08800,-0.05970946379,-40.6712546159,
       10.09000,-0.05772576067,-39.6343882565,
       10.09200,-0.05752739036,-38.7485885189,
       10.09400,-0.05633716849,-38.1649220252,
       10.09600,-0.05534531693,-37.8009887997,
       10.09800,-0.05494857631,-37.6636555071,
       10.10000,-0.05514694662,-37.7941221351,
       10.10200,-0.05475020600,-38.0893887143,
       10.10400,-0.05554368725,-38.6661885434,
       10.10600,-0.05534531693,-39.5039216285,
       10.10800,-0.05633716849,-40.5682546464,
       10.11000,-0.05713064974,-41.7767876217,
       10.11200,-0.05812250130,-43.2805871761,
       10.11400,-0.05871761223,-44.8873867000,
       10.11600,-0.05970946379,-46.6589861751,
       10.11800,-0.06149479659,-48.7807855464,
       10.12000,-0.06288338878,-50.8201849422,
       10.12200,-0.06466872158,-53.0655842769,
       10.12400,-0.06585894345,-55.3247169408,
       10.12600,-0.06784264657,-57.6456495865,
       10.12800,-0.07022309030,-60.0764488662,
       10.13000,-0.07260353404,-62.4866481521,
       10.13200,-0.07359538560,-64.8968474380,
       10.13400,-0.07597582934,-67.2658467360,
       10.13600,-0.07875301370,-69.5524460585,
       10.13800,-0.08014160588,-71.7841120640,
       10.14000,-0.08212530900,-73.8784447768,
       10.14200,-0.08410901212,-75.8491775262,
       10.14400,-0.08549760430,-77.7100436415,
       10.14600,-0.08748130741,-79.3855098117,
       10.14800,-0.08867152928,-80.8481093783,
       10.15000,-0.09025849178,-82.1527756584,
       10.15200,-0.09065523240,-83.2926419874,
       10.15400,-0.09164708396,-84.2059083834,
       10.15600,-0.09283730583,-84.8033082064,
       10.15800,-0.09303567614,-85.2427747429,
       10.16000,-0.09363078707,-85.4487746818,
       10.16200,-0.09363078707,-85.4350413526,
       10.16400,-0.09382915738,-85.1672414319,
       10.16600,-0.09382915738,-84.7071749016,
       10.16800,-0.09283730583,-83.9999084445,
       10.17000,-0.09343241676,-83.0523087252,
       10.17200,-0.09263893551,-81.8781090732,
       10.17400,-0.09144871364,-80.5322428053,
       10.17600,-0.09105197302,-78.8499099704,
       10.17800,-0.08966338084,-77.0714438307,
       10.18000,-0.08926664022,-75.0938444166,
       10.18200,-0.08787804804,-72.9995117038,
       10.18400,-0.08668782617,-70.7541123692,
       10.18600,-0.08470412305,-68.5224463637,
       10.18800,-0.08331553087,-66.1534470656,
       10.19000,-0.08172856838,-63.7089144566,
       10.19200,-0.07954649495,-61.3742484817,
       10.19400,-0.07716605121,-58.9640491958,
       10.19600,-0.07637256996,-56.5126499222,
       10.19800,-0.07319864498,-54.1642506180,
       10.20000,-0.07081820124,-51.9394512772,
       10.20200,-0.06942960906,-49.7695852535,
       10.20400,-0.06804101688,-47.7713858455,
       10.20600,-0.06566057314,-45.9036530656,
       10.20800,-0.06387524033,-44.2213202307,
       10.21000,-0.06208990753,-42.6076540422,
       10.21200,-0.06070131535,-41.2343211158,
       10.21400,-0.05951109348,-40.1425214393,
       10.21600,-0.05772576067,-39.1331217383,
       10.21800,-0.05673390912,-38.4601886044,
       10.22000,-0.05594042787,-38.0138554033,
       10.22200,-0.05554368725,-37.7460554827,
       10.22400,-0.05494857631,-37.7048554949,
       10.22600,-0.05534531693,-37.9451887570,
       10.22800,-0.05494857631,-38.3434553056,
       10.23000,-0.05554368725,-39.0438550981,
       10.23200,-0.05594042787,-39.9159215064,
       10.23400,-0.05613879818,-41.1244544816,
       10.23600,-0.05673390912,-42.5321207312,
       10.23800,-0.05871761223,-44.0565202795,
