7, 30.000, -61.5999984741211, 23.8999996185303, 0, 0.000, 458.719, -4.000, 1, 5000, 2, 2, 0, -4, 2, -61.5999984741211, 23.8999996185303
C:\TA Instruments\WinTest\UnsecureWorkspace\TestData\SOPHIE AND BEN\RHH238\Superior\cartSub7 03222018 122844.dat

test
"Elapsed Time ","Disp  ","Load   ",
"Sec          ","mm    ","N      ",
       11.70000,-0.10057374798,-45.8212530900,
       11.70020,-0.10097048860,-46.5628528703,
       11.70040,-0.10176396985,-47.3387859737,
       11.70060,-0.10136722922,-48.1078524125,
       11.70080,-0.10216071047,-48.8906521805,
       11.70100,-0.10216071047,-49.6734519486,
       11.70120,-0.10354930265,-50.4425183874,
       11.70140,-0.10275582141,-51.2527848140,
       11.70160,-0.10414441359,-52.0699179052,
       11.70180,-0.10354930265,-52.9145176550,
       11.70200,-0.10454115421,-53.7591174047,
       11.70220,-0.10553300577,-54.6380504776,
       11.70240,-0.10513626514,-55.5375835444,
       11.70260,-0.10632648701,-56.4577166051,
       11.70280,-0.10711996826,-57.3641163366,
       11.70300,-0.10771507920,-58.3117160558,
       11.70320,-0.10811181982,-59.2387157811,
       11.70340,-0.10870693075,-60.1382488479,
       11.70360,-0.10910367138,-61.0652485733,
       11.70380,-0.10989715262,-61.9579149754,
       11.70400,-0.11029389325,-62.8711813715,
       11.70420,-0.11148411512,-63.7981810968,
       11.70440,-0.11188085574,-64.6977141636,
       11.70460,-0.11267433699,-65.6247138890,
       11.70480,-0.11287270730,-66.5242469558,
       11.70500,-0.11426129948,-67.4031800287,
       11.70520,-0.11386455885,-68.2889797662,
       11.70540,-0.11505478072,-69.1610461745,
       11.70560,-0.11564989166,-70.0125125889,
       11.70580,-0.11525315104,-70.8639790033,
       11.70600,-0.11644337291,-71.7154454176,
       11.70620,-0.11783196509,-72.5463118381,
       11.70640,-0.11842707602,-73.3359782708,
       11.70660,-0.11862544633,-74.1187780389,
       11.70680,-0.11862544633,-74.8878444777,
       11.70700,-0.11961729789,-75.6294442579,
       11.70720,-0.12060914945,-76.3367107150,
       11.70740,-0.12080751976,-77.0508438368,
       11.70760,-0.12080751976,-77.7169103061,
       11.70780,-0.12199774163,-78.3761101108,
       11.70800,-0.12298959319,-79.0147099216,
       11.70820,-0.12259285257,-79.6121097446,
       11.70840,-0.12398144475,-80.1820429090,
       11.70860,-0.12437818537,-80.7382427442,
       11.70880,-0.12417981506,-81.2669759209,
       11.70900,-0.12497329630,-81.7682424390,
       11.70920,-0.12556840724,-82.2214423048,
       11.70940,-0.12556840724,-82.6609088412,
       11.70960,-0.12596514786,-83.0660420545,
       11.70980,-0.12616351817,-83.4368419446,
       11.71000,-0.12735374004,-83.7939085055,
       11.71020,-0.12735374004,-84.1235084078,
       11.71040,-0.12735374004,-84.4256416517,
       11.71060,-0.12814722129,-84.6934415723,
       11.71080,-0.12794885098,-84.9269081698,
       11.71100,-0.12854396191,-85.1123081149,
       11.71120,-0.12814722129,-85.2565080721,
       11.71140,-0.12854396191,-85.4007080294,
       11.71160,-0.12894070254,-85.4899746696,
       11.71180,-0.12894070254,-85.5723746452,
       11.71200,-0.12913907285,-85.5929746391,
       11.71220,-0.12933744316,-85.5655079806,
       11.71240,-0.12933744316,-85.5174413282,
       11.71260,-0.12913907285,-85.4487746818,
       11.71280,-0.12894070254,-85.3663747063,
       11.71300,-0.12933744316,-85.2427747429,
       11.71320,-0.12953581347,-85.1260414441,
       11.71340,-0.12874233222,-84.9406414991,
       11.71360,-0.12894070254,-84.7346415601,
       11.71380,-0.12973418378,-84.4805749687,
       11.71400,-0.12894070254,-84.1853083895,
       11.71420,-0.12973418378,-83.8831751457,
       11.71440,-0.12874233222,-83.5398419141,
       11.71460,-0.12933744316,-83.1896420179,
       11.71480,-0.12874233222,-82.8051087985,
       11.71500,-0.12894070254,-82.3862422559,
       11.71520,-0.12814722129,-81.8987090670,
       11.71540,-0.12874233222,-81.3768425550,
       11.71560,-0.12775048067,-80.8412427137,
       11.71580,-0.12775048067,-80.3331095309,
       11.71600,-0.12735374004,-79.7700430311,
       11.71620,-0.12755211035,-79.1589098788,
       11.71640,-0.12695699942,-78.5271767327,
       11.71660,-0.12695699942,-77.8267769402,
       11.71680,-0.12656025880,-77.1126438185,
       11.71700,-0.12576677755,-76.3710440382,
       11.71720,-0.12556840724,-75.6294442579,
       11.71740,-0.12477492599,-74.8809778130,
       11.71760,-0.12537003693,-74.1462446974,
       11.71780,-0.12497329630,-73.3565782647,
       11.71800,-0.12457655568,-72.5669118320,
       11.71820,-0.12338633381,-71.7291787469,
       11.71840,-0.12378307443,-70.8845789972,
       11.71860,-0.12279122288,-70.0468459120,
       11.71880,-0.12298959319,-69.2159794916,
       11.71900,-0.12219611194,-68.4263130589,
       11.71920,-0.12199774163,-67.5817133091,
       11.71940,-0.12160100101,-66.6409802545,
       11.71960,-0.12080751976,-65.5560472427,
       11.71980,-0.11961729789,-64.4024475845,
       11.72000,-0.11981566820,-63.3106479080,
       11.72020,-0.11922055727,-62.2394482253,
       11.72040,-0.11862544633,-61.3261818293,
       11.72060,-0.11803033540,-60.5021820734,
       11.72080,-0.11743522446,-59.7125156407,
       11.72100,-0.11684011353,-58.8610492264,
       11.72120,-0.11624500259,-57.9340495010,
       11.72140,-0.11525315104,-57.0276497696,
       11.72160,-0.11525315104,-56.1349833674,
       11.72180,-0.11426129948,-55.2354503006,
       11.72200,-0.11406292917,-54.3153172399,
       11.72220,-0.11267433699,-53.4638508255,
       11.72240,-0.11227759636,-52.5505844295,
       11.72260,-0.11168248543,-51.7334513382,
       11.72280,-0.11108737449,-50.8888515885,
       11.72300,-0.11049226356,-50.0991851558,
       11.72320,-0.11009552293,-49.3301187170,
       11.72340,-0.10930204169,-48.6159855953,
       11.72360,-0.10850856044,-47.8606524857,
       11.72380,-0.10811181982,-47.0984527116,
       11.72400,-0.10711996826,-46.3225196081,
       11.72420,-0.10711996826,-45.5191198462,
       11.72440,-0.10573137608,-44.8255867183,
       11.72460,-0.10652485733,-44.1732535783,
       11.72480,-0.10513626514,-43.6101870785,
       11.72500,-0.10434278390,-43.1501205481,
       11.72520,-0.10434278390,-42.6557206946,
       11.72540,-0.10374767296,-42.1063875240,
       11.72560,-0.10295419172,-41.5776543474,
       11.72580,-0.10235908078,-41.0489211707,
       11.72600,-0.10216071047,-40.5751213111,
       11.72620,-0.10156559954,-40.1631214331,
       11.72640,-0.10116885891,-39.7785882138,
       11.72660,-0.10077211829,-39.4077883236,
       11.72680,-0.10017700735,-39.0301217689,
       11.72700,-0.09978026673,-38.6524552141,
       11.72720,-0.09978026673,-38.3503219703,
       11.72740,-0.09878841517,-38.1511886959,
       11.72760,-0.09859004486,-38.0207220679,
       11.72780,-0.09839167455,-37.9520554216,
       11.72800,-0.09839167455,-37.8765221107,
       11.72820,-0.09799493393,-37.8215887936,
       11.72840,-0.09839167455,-37.7872554704,
       11.72860,-0.09819330424,-37.7185888241,
       11.72880,-0.09819330424,-37.6979888302,
       11.72900,-0.09759819330,-37.6911221656,
       11.72920,-0.09739982299,-37.7597888119,
       11.72940,-0.09720145268,-37.8765221107,
       11.72960,-0.09720145268,-38.0275887326,
       11.72980,-0.09739982299,-38.1923886837,
       11.73000,-0.09739982299,-38.3777886288,
       11.73020,-0.09720145268,-38.5700552385,
       11.73040,-0.09759819330,-38.8172551653,
       11.73060,-0.09779656362,-39.0781884213,
       11.73080,-0.09799493393,-39.3734550005,
       11.73100,-0.09779656362,-39.6824549089,
       11.73120,-0.09759819330,-40.0463881344,
       11.73140,-0.09839167455,-40.4377880184,
       11.73160,-0.09799493393,-40.8429212317,
       11.73180,-0.09839167455,-41.3373210852,
       11.73200,-0.09878841517,-41.8523209326,
       11.73220,-0.09859004486,-42.4016541032,
       11.73240,-0.09878841517,-42.9647206030,
       11.73260,-0.09918515580,-43.5415204321,
       11.73280,-0.09978026673,-44.1183202612,
       11.73300,-0.09958189642,-44.7431867428,
       11.73320,-0.10057374798,-45.3817865535,
       11.73340,-0.10037537767,-46.0547196875,
       11.73360,-0.10116885891,-46.7825861385,
       11.73380,-0.10116885891,-47.5516525773,
       11.73400,-0.10176396985,-48.3413190100,
       11.73420,-0.10216071047,-49.1378521073,
       11.73440,-0.10275582141,-49.9343852046,
       11.73460,-0.10315256203,-50.7446516312,
       11.73480,-0.10335093234,-51.5617847224,
       11.73500,-0.10374767296,-52.3789178137,
       11.73520,-0.10414441359,-53.2509842219,
       11.73540,-0.10513626514,-54.1024506363,
       11.73560,-0.10513626514,-54.9813837092,
       11.73580,-0.10592974639,-55.8671834468,
       11.73600,-0.10632648701,-56.7529831843,
       11.73620,-0.10771507920,-57.6937162389,
       11.73640,-0.10791344951,-58.6069826350,
       11.73660,-0.10831019013,-59.5065157018,
       11.73680,-0.10850856044,-60.4403820917,
       11.73700,-0.11009552293,-61.3742484817,
       11.73720,-0.10989715262,-62.2463148900,
       11.73740,-0.11049226356,-63.1527146214,
       11.73760,-0.11128574480,-64.0728476821,
       11.73780,-0.11188085574,-64.9723807489,
