7, 30.000, -61.5999984741211, 23.8999996185303, 0, 0.000, 467.344, -4.000, 1, 5000, 2, 2, 0, -4, 2, -61.5999984741211, 23.8999996185303
C:\TA Instruments\WinTest\UnsecureWorkspace\TestData\SOPHIE AND BEN\RHH238\Posterior\cartSub7 03232018 123846.dat

test
"Elapsed Time ","Disp  ","Load   ",
"Sec          ","mm    ","N      ",
       11.70000,0.01904354991,-46.3019196142,
       11.70020,0.01924192022,-47.0297860652,
       11.70040,0.01924192022,-47.8606524857,
       11.70060,0.01785332804,-48.6846522416,
       11.70080,0.01825006867,-49.5223853267,
       11.70100,0.01785332804,-50.3326517533,
       11.70120,0.01765495773,-51.1429181799,
       11.70140,0.01705984680,-51.9463179418,
       11.70160,0.01666310617,-52.7565843684,
       11.70180,0.01646473586,-53.5531174657,
       11.70200,0.01547288430,-54.3771172216,
       11.70220,0.01507614368,-55.2354503006,
       11.70240,0.01428266243,-56.1143833735,
       11.70260,0.01388592181,-57.0139164403,
       11.70280,0.01289407025,-57.9615161596,
       11.70300,0.01289407025,-58.9159825434,
       11.70320,0.01289407025,-59.8361156041,
       11.70340,0.01190221870,-60.7562486648,
       11.70360,0.01110873745,-61.6557817316,
       11.70380,0.01110873745,-62.5347148045,
       11.70400,0.01031525620,-63.4205145421,
       11.70420,0.00952177496,-64.2994476150,
       11.70440,0.00952177496,-65.2264473403,
       11.70460,0.00813318278,-66.1397137364,
       11.70480,0.00833155309,-67.0529801325,
       11.70500,0.00714133122,-67.9662465285,
       11.70520,0.00634784997,-68.8520462661,
       11.70540,0.00634784997,-69.7103793451,
       11.70560,0.00535599841,-70.5412457656,
       11.70580,0.00495925779,-71.3377788629,
       11.70600,0.00476088748,-72.1686452834,
       11.70620,0.00416577654,-72.9445783868,
       11.70640,0.00357066561,-73.7411114841,
       11.70660,0.00297555467,-74.5239112522,
       11.70680,0.00277718436,-75.2655110324,
       11.70700,0.00257881405,-76.0345774712,
       11.70720,0.00178533280,-76.7555772576,
       11.70740,0.00178533280,-77.4422437208,
       11.70760,0.00079348125,-78.1220435194,
       11.70780,0.00059511093,-78.7400433363,
       11.70800,0.00000000000,-79.3305764946,
       11.70820,-0.00039674062,-79.9073763237,
       11.70840,-0.00019837031,-80.4704428236,
       11.70860,-0.00119022187,-80.9991760002,
       11.70880,-0.00138859218,-81.5279091769,
       11.70900,-0.00158696249,-82.0154423658,
       11.70920,-0.00198370312,-82.4755088961,
       11.70940,-0.00257881405,-82.9149754326,
       11.70960,-0.00218207343,-83.2857753227,
       11.70980,-0.00297555467,-83.6359752190,
       11.71000,-0.00317392499,-83.9724417859,
       11.71020,-0.00376903592,-84.2333750420,
       11.71040,-0.00396740623,-84.5149082919,
       11.71060,-0.00436414686,-84.7621082186,
       11.71080,-0.00456251717,-84.9749748222,
       11.71100,-0.00436414686,-85.1535081027,
       11.71120,-0.00535599841,-85.3045747246,
       11.71140,-0.00495925779,-85.4007080294,
       11.71160,-0.00495925779,-85.4831080050,
       11.71180,-0.00555436872,-85.5037079989,
       11.71200,-0.00555436872,-85.5037079989,
       11.71220,-0.00535599841,-85.4487746818,
       11.71240,-0.00555436872,-85.4213080233,
       11.71260,-0.00575273904,-85.3320413831,
       11.71280,-0.00555436872,-85.2359080782,
       11.71300,-0.00535599841,-85.0985747856,
       11.71320,-0.00575273904,-84.9543748283,
       11.71340,-0.00555436872,-84.7483748894,
       11.71360,-0.00535599841,-84.5011749626,
       11.71380,-0.00595110935,-84.2196417127,
       11.71400,-0.00595110935,-83.9243751335,
       11.71420,-0.00575273904,-83.5673085726,
       11.71440,-0.00495925779,-83.2171086764,
       11.71460,-0.00555436872,-82.8394421216,
       11.71480,-0.00476088748,-82.4411755730,
       11.71500,-0.00436414686,-82.0154423658,
       11.71520,-0.00456251717,-81.5485091708,
       11.71540,-0.00476088748,-80.9991760002,
       11.71560,-0.00436414686,-80.3949095126,
       11.71580,-0.00357066561,-79.7631763665,
       11.71600,-0.00337229530,-79.1451765496,
       11.71620,-0.00317392499,-78.5615100558,
       11.71640,-0.00277718436,-77.9641102329,
       11.71660,-0.00257881405,-77.3392437513,
       11.71680,-0.00277718436,-76.6388439589,
       11.71700,-0.00257881405,-75.8766441847,
       11.71720,-0.00238044374,-75.1007110813,
       11.71740,-0.00178533280,-74.3041779839,
       11.71760,-0.00158696249,-73.4939115574,
       11.71780,-0.00138859218,-72.6973784600,
       11.71800,-0.00099185156,-71.8802453688,
