8, 50.000, -61.5999984741211, 23.8999996185303, 0, 0.000, 480.766, -4.000, 1, 5000, 2, 2, 0, -4, 2, -61.5999984741211, 23.8999996185303
C:\TA Instruments\WinTest\UnsecureWorkspace\TestData\SOPHIE AND BEN\RHH238\Superior\cartSub8 03222018 122905.dat

test
"Elapsed Time ","Disp  ","Load   ",
"Sec          ","mm    ","N      ",
       12.80000,-0.10196234016,-40.8772545549,
       12.80020,-0.10196234016,-41.5845210120,
       12.80040,-0.10235908078,-42.3673207801,
       12.80060,-0.10235908078,-43.1775872066,
       12.80080,-0.10354930265,-44.0702536088,
       12.80100,-0.10374767296,-45.0521866512,
       12.80120,-0.10414441359,-46.1508529923,
       12.80140,-0.10454115421,-47.3456526383,
       12.80160,-0.10553300577,-48.6297189245,
       12.80180,-0.10573137608,-49.9961851863,
       12.80200,-0.10731833857,-51.3557847835,
       12.80220,-0.10731833857,-52.7359843745,
       12.80240,-0.10811181982,-54.1230506302,
       12.80260,-0.10890530107,-55.5307168798,
       12.80280,-0.10989715262,-56.9521164586,
       12.80300,-0.11088900418,-58.4284493545,
       12.80320,-0.11128574480,-59.9665822321,
       12.80340,-0.11267433699,-61.5321817682,
       12.80360,-0.11366618854,-63.1183812983,
       12.80380,-0.11465804010,-64.6839808344,
       12.80400,-0.11485641041,-66.1877803888,
       12.80420,-0.11604663228,-67.6709799493,
       12.80440,-0.11723685415,-69.1335795160,
       12.80460,-0.11842707602,-70.5412457656,
       12.80480,-0.11922055727,-71.9145786920,
       12.80500,-0.11981566820,-73.2535782952,
       12.80520,-0.12140263070,-74.5788445692,
       12.80540,-0.12239448225,-75.8285775323,
       12.80560,-0.12318796350,-76.9890438551,
       12.80580,-0.12437818537,-78.1151768548,
       12.80600,-0.12537003693,-79.1520432142,
       12.80620,-0.12556840724,-80.1477095859,
       12.80640,-0.12656025880,-81.0747093112,
       12.80660,-0.12755211035,-81.9261757256,
       12.80680,-0.12794885098,-82.6677755058,
       12.80700,-0.12894070254,-83.3475753044,
       12.80720,-0.12894070254,-83.9175084689,
       12.80740,-0.12933744316,-84.3981749931,
       12.80760,-0.12953581347,-84.7758415479,
       12.80780,-0.12993255409,-85.0642414624,
       12.80800,-0.13013092441,-85.2771080660,
       12.80820,-0.13092440565,-85.4419080172,
       12.80840,-0.13191625721,-85.5105746635,
       12.80860,-0.13112277596,-85.4693746757,
       12.80880,-0.13132114628,-85.3320413831,
       12.80900,-0.13112277596,-85.1260414441,
       12.80920,-0.13191625721,-84.8376415296,
       12.80940,-0.13132114628,-84.4874416334,
       12.80960,-0.13112277596,-84.0411084323,
       12.80980,-0.13112277596,-83.5261085849,
       12.81000,-0.13112277596,-82.8737754448,
       12.81020,-0.13072603534,-82.1802423170,
       12.81040,-0.13013092441,-81.3768425550,
       12.81060,-0.13013092441,-80.5253761406,
       12.81080,-0.13013092441,-79.6121097446,
       12.81100,-0.12933744316,-78.6233100375,
       12.81120,-0.12953581347,-77.6276436659,
       12.81140,-0.12854396191,-76.6388439589,
       12.81160,-0.12794885098,-75.4852443007,
       12.81180,-0.12794885098,-74.0981780450,
       12.81200,-0.12755211035,-72.5463118381,
       12.81220,-0.12675862911,-70.9875789666,
       12.81240,-0.12537003693,-69.4975127415,
       12.81260,-0.12517166662,-68.0143131809,
       12.81280,-0.12378307443,-66.5448469497,
       12.81300,-0.12338633381,-65.1165807062,
       12.81320,-0.12239448225,-63.6883144627,
       12.81340,-0.12199774163,-62.2325815607,
       12.81360,-0.12041077914,-60.8180486465,
       12.81380,-0.11981566820,-59.2455824458,
       12.81400,-0.11941892758,-57.7349162267,
       12.81420,-0.11822870571,-56.2379833369,
       12.81440,-0.11763359478,-54.8028504288,
       12.81460,-0.11564989166,-53.3677175207,
       12.81480,-0.11505478072,-51.9600512711,
       12.81500,-0.11406292917,-50.6004516739,
       12.81520,-0.11326944792,-49.3232520524,
       12.81540,-0.11188085574,-48.0323191015,
       12.81560,-0.11148411512,-46.8306527909,
       12.81580,-0.11049226356,-45.6839197974,
       12.81600,-0.10910367138,-44.5783867916,
       12.81620,-0.10850856044,-43.4659871212,
       12.81640,-0.10711996826,-42.4359874264,
       12.81660,-0.10731833857,-41.4609210486,
       12.81680,-0.10513626514,-40.6437879574,
       12.81700,-0.10553300577,-39.9365215003,
       12.81720,-0.10414441359,-39.3459883419,
       12.81740,-0.10374767296,-38.9133884701,
       12.81760,-0.10354930265,-38.6112552263,
       12.81780,-0.10354930265,-38.3571886349,
       12.81800,-0.10196234016,-38.1168553728,
       12.81820,-0.10196234016,-37.8765221107,
       12.81840,-0.10176396985,-37.7323221534,
       12.81860,-0.10156559954,-37.7391888180,
       12.81880,-0.10196234016,-37.9039887692,
       12.81900,-0.10156559954,-38.1992553484,
       12.81920,-0.10156559954,-38.6112552263,
       12.81940,-0.10156559954,-39.0987884152,
       12.81960,-0.10116885891,-39.6069215979,
       12.81980,-0.10176396985,-40.2043214209,
       12.82000,-0.10216071047,-40.8223212378,
       12.82020,-0.10275582141,-41.5295876949,
       12.82040,-0.10275582141,-42.2986541337,
       12.82060,-0.10275582141,-43.1226538896,
       12.82080,-0.10335093234,-44.0565202795,
       12.82100,-0.10374767296,-45.0521866512,
       12.82120,-0.10414441359,-46.1714529862,
       12.82140,-0.10513626514,-47.3456526383,
       12.82160,-0.10553300577,-48.5885189367,
       12.82180,-0.10592974639,-49.9069185461,
       12.82200,-0.10652485733,-51.2596514786,
       12.82220,-0.10771507920,-52.6467177343,
       12.82240,-0.10811181982,-54.0612506485,
       12.82260,-0.10890530107,-55.5307168798,
       12.82280,-0.10969878231,-57.0276497696,
       12.82300,-0.11108737449,-58.5177159948,
       12.82320,-0.11108737449,-60.0695822016,
       12.82340,-0.11267433699,-61.6283150731,
       12.82360,-0.11346781823,-63.1458479568,
       12.82380,-0.11505478072,-64.6771141697,
       12.82400,-0.11485641041,-66.1877803888,
       12.82420,-0.11624500259,-67.6572466201,
       12.82440,-0.11763359478,-69.0855128636,
       12.82460,-0.11842707602,-70.5000457778,
       12.82480,-0.11941892758,-71.8802453688,
       12.82500,-0.11981566820,-73.2535782952,
       12.82520,-0.12140263070,-74.5445112461,
       12.82540,-0.12179937132,-75.8285775323,
       12.82560,-0.12298959319,-76.9959105197,
       12.82580,-0.12378307443,-78.1357768487,
       12.82600,-0.12477492599,-79.1932432020,
       12.82620,-0.12556840724,-80.1683095798,
       12.82640,-0.12656025880,-81.0609759819,
       12.82660,-0.12675862911,-81.8781090732,
       12.82680,-0.12794885098,-82.6403088473,
       12.82700,-0.12874233222,-83.3063753166,
       12.82720,-0.12874233222,-83.8831751457,
       12.82740,-0.12953581347,-84.3981749931,
       12.82760,-0.12973418378,-84.8033082064,
       12.82780,-0.13072603534,-85.1123081149,
       12.82800,-0.13092440565,-85.3251747185,
       12.82820,-0.13072603534,-85.4350413526,
       12.82840,-0.13132114628,-85.4693746757,
       12.82860,-0.13132114628,-85.4350413526,
       12.82880,-0.13191625721,-85.3251747185,
       12.82900,-0.13112277596,-85.1260414441,
       12.82920,-0.13191625721,-84.8445081942,
       12.82940,-0.13191625721,-84.4599749748,
       12.82960,-0.13211462752,-83.9999084445,
       12.82980,-0.13132114628,-83.4643086032,
       12.83000,-0.13151951659,-82.8463087863,
       12.83020,-0.13032929472,-82.1596423231,
       12.83040,-0.13092440565,-81.4043092135,
       12.83060,-0.13072603534,-80.5597094638,
       12.83080,-0.12933744316,-79.6395764031,
       12.83100,-0.12973418378,-78.6370433668,
       12.83120,-0.12894070254,-77.6482436598,
       12.83140,-0.12874233222,-76.6182439650,
       12.83160,-0.12794885098,-75.3959776605,
       12.83180,-0.12794885098,-74.0157780694,
       12.83200,-0.12735374004,-72.5119785150,
       12.83220,-0.12616351817,-70.9395123142,
       12.83240,-0.12517166662,-69.4357127598,
       12.83260,-0.12457655568,-68.0005798517,
       12.83280,-0.12417981506,-66.5379802850,
       12.83300,-0.12298959319,-65.1234473708,
       12.83320,-0.12279122288,-63.6951811274,
       12.83340,-0.12160100101,-62.2669148839,
       12.83360,-0.12100589007,-60.7768486587,
       12.83380,-0.12021240883,-59.3211157567,
       12.83400,-0.11862544633,-57.7623828852,
       12.83420,-0.11783196509,-56.1967833491,
       12.83440,-0.11703848384,-54.6998504593,
       12.83460,-0.11624500259,-53.2853175451,
       12.83480,-0.11525315104,-51.9188512833,
       12.83500,-0.11426129948,-50.6141850032,
       12.83520,-0.11287270730,-49.3507187109,
       12.83540,-0.11188085574,-48.1009857479,
       12.83560,-0.11148411512,-46.8581194494,
       12.83580,-0.10989715262,-45.6976531266,
       12.83600,-0.10989715262,-44.6264534440,
       12.83620,-0.10850856044,-43.5140537736,
       12.83640,-0.10811181982,-42.4703207495,
       12.83660,-0.10711996826,-41.4815210425,
       12.83680,-0.10553300577,-40.6300546281,
       12.83700,-0.10493789483,-39.9090548418,
       12.83720,-0.10473952452,-39.3459883419,
       12.83740,-0.10374767296,-38.9065218055,
       12.83760,-0.10335093234,-38.5769219031,
       12.83780,-0.10295419172,-38.3228553117,
       12.83800,-0.10275582141,-38.0893887143,
       12.83820,-0.10216071047,-37.8627887814,
       12.83840,-0.10176396985,-37.7460554827,
       12.83860,-0.10196234016,-37.7803888058,
       12.83880,-0.10097048860,-37.9657887509,
       12.83900,-0.10097048860,-38.2541886654,
       12.83920,-0.10097048860,-38.6387218848,
       12.83940,-0.10156559954,-39.1125217444,
       12.83960,-0.10116885891,-39.6412549211,
       12.83980,-0.10156559954,-40.2043214209,
       12.84000,-0.10275582141,-40.8291879025,
       12.84020,-0.10235908078,-41.5021210364,
       12.84040,-0.10295419172,-42.2780541398,
       12.84060,-0.10275582141,-43.1226538896,
       12.84080,-0.10374767296,-44.0633869442,
       12.84100,-0.10295419172,-45.0865199744,
       12.84120,-0.10394604328,-46.1989196448,
       12.84140,-0.10454115421,-47.3799859615,
       12.84160,-0.10573137608,-48.6159855953,
       12.84180,-0.10632648701,-49.9137852107,
       12.84200,-0.10632648701,-51.2665181433,
       12.84220,-0.10771507920,-52.6535843989,
       12.84240,-0.10850856044,-54.0818506424,
       12.84260,-0.10850856044,-55.5169835505,
       12.84280,-0.11009552293,-56.9795831172,
       12.84300,-0.11108737449,-58.5108493301,
       12.84320,-0.11207922605,-60.0489822077,
       12.84340,-0.11267433699,-61.6145817438,
       12.84360,-0.11346781823,-63.1664479507,
       12.84380,-0.11465804010,-64.6771141697,
       12.84400,-0.11545152135,-66.1809137242,
       12.84420,-0.11644337291,-67.6572466201,
       12.84440,-0.11763359478,-69.1198461867,
       12.84460,-0.11842707602,-70.5343791009,
       12.84480,-0.11941892758,-71.9077120273,
       12.84500,-0.12041077914,-73.2604449599,
       12.84520,-0.12140263070,-74.5376445814,
       12.84540,-0.12239448225,-75.7873775445,
       12.84560,-0.12378307443,-76.9821771905,
       12.84580,-0.12437818537,-78.1220435194,
       12.84600,-0.12517166662,-79.1795098727,
       12.84620,-0.12517166662,-80.1477095859,
       12.84640,-0.12656025880,-81.0609759819,
       12.84660,-0.12775048067,-81.8781090732,
       12.84680,-0.12755211035,-82.6403088473,
       12.84700,-0.12854396191,-83.3201086459,
       12.84720,-0.12894070254,-83.9037751396,
       12.84740,-0.12933744316,-84.4256416517,
       12.84760,-0.12973418378,-84.8239082003,
       12.84780,-0.13092440565,-85.1054414502,
       12.84800,-0.13013092441,-85.3114413892,
       12.84820,-0.13092440565,-85.4213080233,
       12.84840,-0.13151951659,-85.4899746696,
       12.84860,-0.13191625721,-85.4419080172,
       12.84880,-0.13151951659,-85.3320413831,
       12.84900,-0.13112277596,-85.1123081149,
       12.84920,-0.13112277596,-84.8376415296,
       12.84940,-0.13151951659,-84.4599749748,
       12.84960,-0.13112277596,-83.9861751152,
       12.84980,-0.13132114628,-83.4368419446,
       12.85000,-0.13132114628,-82.8051087985,
       12.85020,-0.13151951659,-82.1527756584,
       12.85040,-0.12993255409,-81.4249092074,
       12.85060,-0.13032929472,-80.5940427870,
       12.85080,-0.12973418378,-79.6670430616,
       12.85100,-0.12953581347,-78.6576433607,
       12.85120,-0.12854396191,-77.6345103305,
       12.85140,-0.12894070254,-76.6182439650,
       12.85160,-0.12814722129,-75.4028443251,
       12.85180,-0.12775048067,-74.0157780694,
       12.85200,-0.12695699942,-72.5394451735,
       12.85220,-0.12596514786,-70.9463789789,
       12.85240,-0.12517166662,-69.4219794305,
       12.85260,-0.12477492599,-67.9593798639,
       12.85280,-0.12417981506,-66.5311136204,
       12.85300,-0.12318796350,-65.1303140355,
       12.85320,-0.12239448225,-63.6951811274,
       12.85340,-0.12179937132,-62.2806482131,
       12.85360,-0.12060914945,-60.7905819880,
       12.85380,-0.11981566820,-59.3279824213,
       12.85400,-0.11902218696,-57.7623828852,
       12.85420,-0.11842707602,-56.2036500137,
       12.85440,-0.11723685415,-54.6655171361,
       12.85460,-0.11644337291,-53.2303842280,
       12.85480,-0.11505478072,-51.8913846248,
       12.85500,-0.11426129948,-50.5935850093,
       12.85520,-0.11287270730,-49.3575853755,
       12.85540,-0.11227759636,-48.1353190710,
       12.85560,-0.11168248543,-46.9336527604,
       12.85580,-0.11088900418,-45.7663197729,
       12.85600,-0.10969878231,-44.6401867733,
       12.85620,-0.10870693075,-43.5827204199,
       12.85640,-0.10811181982,-42.5527207251,
       12.85660,-0.10692159795,-41.5501876888,
       12.85680,-0.10652485733,-40.6506546220,
       12.85700,-0.10553300577,-39.8953215125,
       12.85720,-0.10454115421,-39.3322550127,
       12.85740,-0.10354930265,-38.8721884823,
       12.85760,-0.10335093234,-38.4876552629,
       12.85780,-0.10315256203,-38.1992553484,
       12.85800,-0.10216071047,-37.9520554216,
